Season,Matchday,Date,Home_Team,Away_Team,Score,Attendance,Home_Goals,Away_Goals,Target,Home_Team_Points,Away_Team_Points,Home_Form_5,Away_Form_5,Home_Rank,Away_Rank
2010,24,2011-02-26,Hapoel Haifa,Maccabi Petah Tikva,1:1,0,1.0,1.0,1,33,34,8,6,9,7
2010,24,2011-02-26,Hapoel Ramat Gan,Hapoel Beer Sheva,0:0,0,0.0,0.0,1,9,29,1,4,16,10
2010,24,2011-02-26,Hapoel Petah Tikva,Beitar Jerusalem,1:0,0,1.0,0.0,0,20,25,7,6,14,12
2010,24,2011-02-26,FC Ashdod,Ihud Bnei Sakhnin,0:0,0,0.0,0.0,1,28,18,1,7,11,15
2010,24,2011-02-27,Hapoel Tel Aviv,Maccabi Haifa,4:1,15000,4.0,1.0,0,52,54,11,13,2,1
2010,25,2011-03-05,Hapoel Beer Sheva,Hapoel Haifa,0:2,0,0.0,2.0,2,30,34,5,8,10,8
2010,25,2011-03-05,Maccabi Netanya,Ironi Kiryat Shmona,1:1,0,1.0,1.0,1,34,40,10,7,9,4
2010,25,2011-03-05,Maccabi Petah Tikva,Hapoel Ashkelon,4:0,0,4.0,0.0,0,35,20,7,0,7,14
2010,25,2011-03-05,Ihud Bnei Sakhnin,Hapoel Petah Tikva,1:1,0,1.0,1.0,1,19,23,5,9,15,13
2010,25,2011-03-05,FC Ashdod,Bnei Yehuda Tel Aviv,1:2,0,1.0,2.0,2,29,35,2,13,11,9
2010,25,2011-03-05,Maccabi Tel Aviv,Hapoel Acre,2:2,0,2.0,2.0,1,48,35,10,6,3,8
2010,25,2011-03-06,Maccabi Haifa,Hapoel Ramat Gan,3:2,7000,3.0,2.0,0,54,10,10,1,2,16
2010,25,2011-03-07,Beitar Jerusalem,Hapoel Tel Aviv,1:0,0,1.0,0.0,0,25,55,3,13,12,2
2010,26,2011-03-12,Hapoel Tel Aviv,Ihud Bnei Sakhnin,1:0,0,1.0,0.0,0,55,20,10,5,2,15
2010,26,2011-03-12,Hapoel Ramat Gan,Beitar Jerusalem,0:0,0,0.0,0.0,1,10,28,1,5,16,12
2010,26,2011-03-12,Hapoel Acre,Maccabi Petah Tikva,1:1,0,1.0,1.0,1,36,38,6,7,8,5
